PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom
P-56545,BATCH|Coconut Creamed Spinach ,2.268,Kg,,2268.0,g
P-46500,BATCH|Coleslaw|Firecracker ,3.0,Kg,PREP,3000.0,g
P-68029,BATCH|Cooked Pesto Chicken,5.0,Kg,,5000.0,g
P-56629,BATCH|Corn Succotash,2.7,Kg,,2700.0,g
P-56553,BATCH|Cottage Pie Filling ,12.0,Kg,,12000.0,g
P-61847,BATCH|Country Dredge,3.96,Kg,,3960.0,g
P-56374,BATCH|Cowboy Beans ,22.0,Kg,,22000.0,g
P-56997,BATCH|Crisp Tempeh|Tantanmen,1.0,Kg,,1000.0,g
P-26393,BATCH|Crisp Tortilla Strips|OK,0.907,Kg,PREP,907.0,g
P-56907,BATCH|Crispy Fried Tofu AR,1.0,Kg,,1000.0,g
P-56765,BATCH|Crispy Kale|MC,1.0,Batch,,130.0,g
P-71467,BATCH|Crispy Plantains(Alloco),1.0,Kg,PREP,1000.0,g
P-68103,BATCH|Crispy Tostada shell,50.0,each,,1200.0,g
P-71553,BATCH|Crunchy Spiced Chickpeas,450.0,g,PREP,450.0,g
P-67606,BATCH|Cucumber&Tomato|Buddha,2.0,Kg,PREP,2000.0,g
P-61849,BATCH|Dredged Portobellos,1.5,Kg,,1500.0,g
P-67839,BATCH|Dum Aloo,1.0,Kg,,1000.0,g
P-71455,BATCH|Durban Chicken Curry,3.0,Kg,PRODUCTION FOOD,3000.0,g
P-56408,BATCH|Fire Roasted Salsa ,3.7,Kg,,3700.0,g
P-71590,BATCH|Focaccia Bread Sticks,90.0,each,,5130.0,g
P-55175,BATCH|Fruit Salad|House Made,3.2,Kg,,3200.0,g
P-44438,BATCH|Garlic Bread|Baguette,1.0,PTN,,500.0,g
P-24618,BATCH|Garlic Naan Bread|SIDE,1.0,PTN,,134.0,g
P-57301,BATCH|German Potato Salad,1.25,Kg,,1250.0,g
P-63618,BATCH|Glazed Beans|Standard,1.0,Kg,,1000.0,g
P-39336,BATCH|GlazedCarrots&Parsnips,6.5,Kg,,6500.0,g
P-56703,BATCH|Grainy Mustard Dip,1.0,L,,1000.0,ml
P-56704,BATCH|Greek Fish Dredge,550.0,g,,550.0,g
P-56705,BATCH|Greek Fish Marinade,500.0,ml,,500.0,ml
P-47958,BATCH|Greek Salad|BASE,9.5,Kg,,9500.0,g
P-56624,BATCH|Grilled Eggplant ,2.268,Kg,,2268.0,g
P-56398,BATCH|Guacamole,4.5,Kg,PREP,4500.0,g
P-68187,BATCH|Hashbrown Omelete Bite,9.0,each,,120.0,g
P-71704,BATCH|Hashbrowns|RATIO,600.0,g,,600.0,g
P-55486,BATCH|Honey Garlic Chicken,15.0,L,,15000.0,ml
P-44937,BATCH|Honey Garlic Pork,8.0,Kg,,8000.0,g
P-71316,BATCH|Hongo Taco base,6.5,Kg,,6500.0,g
P-42763,"BATCH|Irish ""Colcannon"" ",40.0,L,,40000.0,ml
P-55655,BATCH|Irish Stew|Veg,60.0,Kg,FEAST,60000.0,g
