ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-61299,BEV|Milk|Almond Breeze|Choco,FT BEVERAGES,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-61300,BEV|Milk|Almond Breeze|Vanilla,FT BEVERAGES,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-22289,BEV|Milk|Almond|Asst,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-55558,BEV|Milk|Almond|Chocolate,FT BEVERAGES,250.0,175.52499999999998,0.7625,0.125,113.96,8085.27,70.21,0.3,45.58,3234.11,0.05
R-53986,BEV|Milk|Almond|Silk,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-13192,BEV|Milk|Bulk|Chocolate 12oz,FT BEVERAGES,354.882,792.274065,6.955687200000001,0.7275080999999646,70.02,3469.47,223.25,1.96,19.73,977.64,0.2
R-13191,BEV|Milk|Bulk|White 12oz,FT BEVERAGES,360.0,803.6999999999999,7.056000000000001,0.737999999999964,71.03,3519.5,223.25,1.96,19.73,977.64,0.2
R-55606,BEV|Milk|Oat|Chocolate,FT BEVERAGES,1.0,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7.0,245.0,0.08
R-55584,BEV|Milk|Oat|Original,FT BEVERAGES,1.0,2.3017,0.00675,0.00694,0.67,24.46,230.17,0.68,67.0,2446.0,0.69
R-22965,BEV|Milk|Rice|Asst,FT BEVERAGES,1.0,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157.0,463.0,0.22
R-40493,BEV|Milk|Rice|Chocolate,FT BEVERAGES,1.0,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157.0,463.0,0.22
R-21285,BEV|Milk|Soy|Original,FT BEVERAGES,1.0,0.489,0.0023699999999999997,0.0007800000000000001,0.0,0.01,48.9,0.24,0.0,1.0,0.08
R-64856,BEV|OASIS - APPLE,FT BEVERAGES,1.0,0.3581,0.0027,0.00061,0.11,1.02,35.81,0.27,11.0,102.0,0.06
R-64855,BEV|OASIS - ORANGE,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-25329,BEV|Pop|1 liter|Asst,FT BEVERAGES,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-22772,BEV|Pop|Bulk 12oz,FT BEVERAGES,360.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0
R-22862,BEV|Pop|Bulk 12oz|To Go,FT BEVERAGES,362.0,10.418700000000001,0.13128,0.013619999999999998,0.47,0.82,2.88,0.04,0.13,0.23,0.0
R-63534,BEV|POP|COKE BLKBERRY DIET,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-63533,BEV|POP|COKE DIET VANILLA  EX,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-39125,BEV|Pop|Coke Diet|500ml,FT BEVERAGES,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0
R-63532,BEV|POP|COKE ZERO  CHERRY ,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-38897,BEV|Pop|Coke Zero|500ml,FT BEVERAGES,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0
R-54354,BEV|Pop|Coke Zero|Can 355ml,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-52748,BEV|Pop|Fresca|500ml,FT BEVERAGES,500.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.1,0.1,0.0
R-47465,BEV|Powerade|Fruit Punch|710ml,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-53024,BEV|Powerade|Grape Zero|710ml,FT BEVERAGES,591.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.1,0.1,0.0
R-48464,BEV|Powerade|Grape|710ml,FT BEVERAGES,591.0,0.0,0.0,0.0,0.59,0.59,0.0,0.0,0.1,0.1,0.0
R-47461,BEV|Powerade|Mix Berry|710ml,FT BEVERAGES,1.0,9.3703,0.00675,0.031,0.02,0.22,937.03,0.68,2.0,22.0,3.1
R-63647,BEV|TEA COLD CHAI LATTE,FT BEVERAGES,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-63648,BEV|TEA COLD TWO BEARS MATCHA,FT BEVERAGES,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-23632,BEV|Tea|Hot|Asst,FT BEVERAGES,1001.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-55619,BEV|Tribe Cider|Blackberry,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-55618,BEV|Tribe Cider|Peach,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-55608,BEV|Tribe Cider|Tropical Blend,FT BEVERAGES,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-64295,BEV|VITAMIN WATER SQUEEZE ZERO,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-22974,BEV|Vitasoy|Asst,FT BEVERAGES,1.0000000000000004,1.1531099999999999,0.0006393000000000001,0.0054534,0.0,0.03,115.31,0.06,0.0,3.0,0.55
R-41334,BEV|Vitasoy|Beige,FT BEVERAGES,1.0,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0.0,1.0,0.08
R-40492,BEV|Vitasoy|Black Currant,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-40913,BEV|Vitasoy|Black Soy,FT BEVERAGES,1.0,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0.0,1.0,0.08
R-40537,BEV|Vitasoy|Ceylon,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-40535,BEV|Vitasoy|Chocolate,FT BEVERAGES,1.0,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2.0,22.0,6.9
R-53610,BEV|Vitasoy|Chrysanthem|500ml,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-41528,BEV|Vitasoy|Chrysanthemum Tea,FT BEVERAGES,1.0,1.6414,0.0,0.00239,0.01,0.07,164.14,0.0,1.0,7.0,0.24
R-40489,BEV|Vitasoy|Coconut,FT BEVERAGES,1.0,0.489,0.00237,0.00078,0.0,0.01,48.9,0.24,0.0,1.0,0.08
R-42827,BEV|Vitasoy|Green Tea|500ml,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-40575,BEV|Vitasoy|Guava,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-40491,BEV|Vitasoy|Honey Chrysanthem,FT BEVERAGES,1.0,1.6414,0.0,0.00239,0.01,0.07,164.14,0.0,1.0,7.0,0.24
R-42826,BEV|Vitasoy|Jasmine Tea|500ml,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
