Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
CST,Toast Bar - Custom Toast,R-45432,CST|Toast Bar - Custom Toast,OK - CUSTOM KITCHEN,664.0,140.06994279840703,0.6074869920797827,0.2844675758015332,17.09,903.91,21.09,0.09,2.57,136.13,0.04,Green,Green
CST,Tofu,R-37173,CST|Tofu,OK - CUSTOM KITCHEN,599.0,646.6028377780068,4.174354542025449,1.5535911672360068,93.64,1686.68,107.95,0.7,15.63,281.58,0.26,Green,Green
CST,Veg Only,R-28301,CST|Veg Only,OK - CUSTOM KITCHEN,514.0,497.4958377780068,3.672854542025449,1.2016911672360069,93.08,1683.93,96.79,0.71,18.11,327.61,0.23,Green,Green
CYCLONE PINEAPPPLE LEMON STRAW,,R-63608,CYCLONE PINEAPPPLE LEMON STRAW,OK - GRAB & GO,1.0,1.6414,0.0,0.00239,0.01,0.07,164.14,0.0,1.0,7.0,0.24,Green,Green
DES,Bagel Asst,R-30928,DES|Bagel Asst,OK - BAKERY/DESSERT,38.29498946388295,58.30412145876179,0.5667658440654677,0.1872624984783837,16.05,491.01,152.25,1.48,41.91,1282.18,0.49,Green,Yellow
DES,Bomb,R-52679,DES|Bomb|Trump|Choc Caramel,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cake,R-32206,DES|Cake|Carrot Caramel Stack,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cake,R-45714,DES|Cake|Carrot Caramel Stack.,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cake,R-32207,DES|Cake|Oreo Stacker,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cake,R-29670,DES|Cake|Ponderosa,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cake,R-22310,DES|Cake|Slice Asst,OK - BAKERY/DESSERT,1200.0,91.362560625,0.8881221,0.2934403424999939,25.16,769.41,7.61,0.07,2.1,64.12,0.02,Green,Green
DES,Cake,R-32121,DES|Cake|Tiramisu.,OK - BAKERY/DESSERT,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
DES,Cake,R-60996,DES|Cake|Valentine Choco Heart,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cinnamon Bun,R-29671,DES|Cinnamon Bun,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cinnamon Bun,R-34805,DES|Cinnamon Bun|Mini,OK - BAKERY/DESSERT,0.75,1.141875,0.0111,0.0036674999999999,0.31,9.62,152.25,1.48,41.33,1282.67,0.49,Green,Yellow
DES,Cookie,R-34660,DES|Cookie|Easter Egg|Trump,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-61436,DES|Cookie|Easter|Paint Ginger,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-38226,DES|Cookie|English Bay|Wrapped,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-48028,DES|Cookie|Festive,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-46742,DES|Cookie|Pumpkin Sugar|CK,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-58707,DES|Cookie|Pumpkin Sugar|Trump,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-48027,DES|Cookie|Shortbread,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-32626,DES|Cookie|Shortbread.,OK - BAKERY/DESSERT,12.024,276.67797144,2.35375812,0.402347087999998,29.29,1285.72,2301.05,19.58,243.6,10692.95,3.35,Red,Red
DES,Cookie,R-30170,DES|Cookie|Small Asst,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-48937,DES|Cookie|Sugar,OK - BAKERY/DESSERT,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
DES,Cookie,R-30168,DES|Cookie|Supreme Asst,OK - BAKERY/DESSERT,67.43999286000255,102.67738912935388,0.9981118943280378,0.3297815650854057,28.27,864.7,152.25,1.48,41.92,1282.18,0.49,Green,Yellow
DES,Cookie,R-60972,DES|Cookie|Valentin Gingerbear,OK - GRAB & GO,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49,Green,Yellow
