Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
BEV,Juice,R-37755,BEV|Juice|MM|Grapefruit|355ml,BEVERAGE,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-37758,BEV|Juice|MM|Lemonade|355ml,BEVERAGE,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-37744,BEV|Juice|MM|Orange|355ml,BEVERAGE,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-60815,BEV|Juice|MM|Orange|355ml.,BEVERAGE,355.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-45795,BEV|Juice|Odwalla|Life Food,BEVERAGE,450.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-45797,BEV|Juice|Odwalla|Mango,BEVERAGE,450.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-45796,BEV|Juice|Odwalla|Straw Banana,BEVERAGE,450.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.1,0.1,0.0,Green,Green
BEV,Juice,R-42264,BEV|Juice|Simply|Apple 340ml,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-42262,BEV|Juice|Simply|Lemonade 340m,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-42263,BEV|Juice|Simply|Orange 340ml,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-42265,BEV|Juice|Simply|Peach,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Juice,R-56000,BEV|Juice|Simply|Raspberry Lem,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
BEV,Milk-To-Go,R-41298,BEV|Milk-To-Go|Asst,BEVERAGE,1.0,2.2325,0.0196,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-40889,BEV|Milk-To-Go|Banana,BEVERAGE,473.0,336.53950000000003,1.2771,0.91289,0.47,14.8,71.15,0.27,0.1,3.13,0.19,Green,Green
BEV,Milk-To-Go,R-58217,BEV|Milk-To-Go|Chillin' Choco,BEVERAGE,1.0,2.2325,0.0196,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-40885,BEV|Milk-To-Go|Choc Low Sugar,BEVERAGE,1.0,2.2325,0.0196,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-50127,BEV|Milk-To-Go|Chocolate,BEVERAGE,473.0,1055.9725,9.2708,0.9696499999999528,93.32,4624.24,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk-To-Go,R-40882,BEV|Milk-To-Go|Iced Coffee,BEVERAGE,1.0,2.2325,0.0196,0.0020499999999999,0.2,9.78,223.25,1.96,20.0,978.0,0.2,Yellow,Yellow
BEV,Milk,R-37819,BEV|Milk|237ml|2%,BEVERAGE,265.00034450044785,591.6132690972498,5.194006752208779,0.5432507062258916,52.28,2590.75,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38534,BEV|Milk|237ml|2%&Skim|Promo,BEVERAGE,258.2003218004045,576.432218419403,5.060726307287928,0.5293106596908034,50.94,2524.27,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-13430,BEV|Milk|237ml|Chocolate,BEVERAGE,250.0,558.125,4.9,0.512499999999975,49.32,2444.1,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
BEV,Milk,R-38538,BEV|Milk|237ml|Chocolate|Promo,BEVERAGE,250.0,558.125,4.9,0.512499999999975,49.32,2444.1,223.25,1.96,19.73,977.64,0.2,Yellow,Yellow
